bid,f0_scale,f0_elv
10351000,1.0,0.5
8716000,1.0,0.5
15138001,1.0,0.5
5074003,1.0,0.5
8725000,1.0,0.5
8717000,1.0,0.5
4644000,1.0,0.5
22162001,1.0,0.5
13629000,1.0,0.5
5621001,1.0,0.5
15138000,1.0,0.5
13626000,1.0,0.5
2605000,1.0,0.5
13257000,1.0,0.5
11364000,1.0,0.5
11861000,1.0,0.5
25737001,1.0,0.5
14047000,1.0,0.5
17596001,1.0,0.5
9147005,1.0,0.5
14047001,1.0,0.5
3100000,1.0,0.5
1214002,1.0,0.5
3101000,1.0,0.5
11349000,1.0,0.5
10320000,1.0,0.5
13235000,1.0,0.5
1214001,1.0,0.5
11340000,1.0,0.5
9041002,1.0,0.5
23773000,1.0,0.5
27848000,1.0,0.5
5074001,1.0,0.5
5074002,1.0,0.5
770000,1.0,0.5
9041001,1.0,0.5
10948000,1.0,0.5
15058000,1.0,0.5
5074000,1.0,0.5
4010001,1.0,0.5
22162000,1.0,0.5
11552001,1.0,0.5
3100002,1.0,0.5
3607000,1.0,0.5
3606000,1.0,0.5
3589000,1.0,0.5
3589001,1.0,0.5
17219001,1.0,0.5
9041000,1.0,0.5
2494000,1.0,0.5
6175002,1.0,0.5
6621000,1.0,0.5
5621000,1.0,0.5
24192000,1.0,0.5
9147004,1.0,0.5
3563000,1.0,0.5
3100001,1.0,0.5
3029000,1.0,0.5
22921000,1.0,0.5
12863001,1.0,0.5
22916000,1.0,0.5
25985001,1.0,0.5
25985000,1.0,0.5
15188004,1.0,0.5
3562000,1.0,0.5
5001000,1.0,0.5
15720001,1.0,0.5
3531000,1.0,0.5
15380000,1.0,0.5
5011000,1.0,0.5
6158001,1.0,0.5
15188003,1.0,0.5
5010000,1.0,0.5
5556000,1.0,0.5
22092000,1.0,0.5
5929003,1.0,0.5
1216000,1.0,0.5
5929002,1.0,0.5
1214000,1.0,0.5
16612000,1.0,0.5
5929001,1.0,0.5
1215000,1.0,0.5
27404006,1.0,0.5
1213000,1.0,0.5
2428000,1.0,0.5
27404005,1.0,0.5
2427000,1.0,0.5
22162003,1.0,0.5
12863000,1.0,0.5
14721000,1.0,0.5
22162002,1.0,0.5
14327000,1.0,0.5
13936000,1.0,0.5
1638002,1.0,0.5
27535001,1.0,0.5
13923000,1.0,0.5
14707000,1.0,0.5
27535000,1.0,0.5
17739000,1.0,0.5
27535002,1.0,0.5
5001001,1.0,0.5
9319001,1.0,0.5
17219000,1.0,0.5
2369000,1.0,0.5
1638001,1.0,0.5
2367000,1.0,0.5
4940000,1.0,0.5
2368000,1.0,0.5
2365000,1.0,0.5
2366001,1.0,0.5
2364000,1.0,0.5
22685003,1.0,0.5
24879000,1.0,0.5
4915000,1.0,0.5
11745000,1.0,0.5
3440000,1.0,0.5
2881000,1.0,0.5
22685002,1.0,0.5
1113000,1.0,0.5
2870000,1.0,0.5
17430003,1.0,0.5
1638000,1.0,0.5
27404003,1.0,0.5
27404004,1.0,0.5
22591001,1.0,0.5
15621003,1.0,0.5
15621004,1.0,0.5
9147003,1.0,0.5
11138001,1.0,0.5
2287000,1.0,0.5
2288000,1.0,0.5
23193000,1.0,0.5
3364000,1.0,0.5
22685001,1.0,0.5
15621000,1.0,0.5
15188001,1.0,0.5
15188002,1.0,0.5
9147002,1.0,0.5
4644001,1.0,0.5
17430001,1.0,0.5
13841000,1.0,0.5
12939001,1.0,0.5
17697000,1.0,0.5
26817001,1.0,0.5
27448000,1.0,0.5
26463003,1.0,0.5
3315002,1.0,0.5
2124000,1.0,0.5
2125000,1.0,0.5
12322000,1.0,0.5
13235001,1.0,0.5
3315000,1.0,0.5
3315001,1.0,0.5
26463002,1.0,0.5
26463000,1.0,0.5
26412000,1.0,0.5
26463001,1.0,0.5
17430000,1.0,0.5
23135000,1.0,0.5
2108000,1.0,0.5
12101001,1.0,0.5
2091000,1.0,0.5
2092000,1.0,0.5
22685000,1.0,0.5
2090000,1.0,0.5
24777000,1.0,0.5
1503000,1.0,0.5
1504000,1.0,0.5
24374000,1.0,0.5
1502000,1.0,0.5
5836000,1.0,0.5
9176000,1.0,0.5
23123000,1.0,0.5
6621004,1.0,0.5
2093000,1.0,0.5
2094000,1.0,0.5
5556001,1.0,0.5
13629002,1.0,0.5
26004001,1.0,0.5
18228000,1.0,0.5
13629001,1.0,0.5
11919000,1.0,0.5
2705000,1.0,0.5
2706000,1.0,0.5
27404001,1.0,0.5
12260000,1.0,0.5
6621003,1.0,0.5
6621002,1.0,0.5
2605001,1.0,0.5
6621001,1.0,0.5
4713000,1.0,0.5
4243000,1.0,0.5
4714000,1.0,0.5
27848001,1.0,0.5
4674000,1.0,0.5
15171000,1.0,0.5
12232000,1.0,0.5
9147001,1.0,0.5
27404000,1.0,0.5
12226002,1.0,0.5
11552002,1.0,0.5
13673000,1.0,0.5
24704001,1.0,0.5
5750001,1.0,0.5
17596003,1.0,0.5
9147000,1.0,0.5
3440001,1.0,0.5
5621002,1.0,0.5
12226001,1.0,0.5
22591000,1.0,0.5
12226000,1.0,0.5
23773001,1.0,0.5
