bid,NHC2020_DEM_20210804_5x5_cmp
10351000,306.1700134277344
8716000,283.5799865722656
15138001,344.6400146484375
5074003,345.1299743652344
8725000,284.7900085449219
8717000,280.6400146484375
4644000,345.0
22162001,343.72998046875
13629000,342.3499755859375
5621001,394.30999755859375
15138000,344.6400146484375
13626000,349.97998046875
2605000,345.9900207519531
13257000,353.2799987792969
11364000,340.17999267578125
11861000,347.469970703125
25737001,394.3699951171875
14047000,343.4700012207031
17596001,345.489990234375
9147005,280.47998046875
14047001,343.7200012207031
3100000,344.25
1214002,339.8499755859375
3101000,344.16998291015625
11349000,338.8199768066406
10320000,300.8299865722656
13235000,347.9899597167969
1214001,339.7599792480469
11340000,338.6100158691406
9041002,280.0400085449219
23773000,344.75
27848000,344.5799560546875
5074001,344.510009765625
5074002,344.67999267578125
770000,300.32000732421875
9041001,280.1999816894531
10948000,339.8900146484375
15058000,346.72998046875
5074000,344.6499938964844
4010001,343.8399963378906
22162000,343.6499938964844
11552001,341.1800231933594
3100002,343.760009765625
3607000,344.2799987792969
3606000,344.19000244140625
3589000,344.8800048828125
3589001,344.9399719238281
17219001,344.260009765625
9041000,280.05999755859375
2494000,350.4800109863281
6175002,409.7599792480469
6621000,344.489990234375
5621000,393.8299865722656
24192000,345.20001220703125
9147004,280.7799987792969
3563000,346.0400085449219
3100001,343.739990234375
3029000,344.41998291015625
22921000,344.6999816894531
12863001,352.8399963378906
22916000,345.66998291015625
25985001,345.8199768066406
25985000,346.989990234375
15188004,352.0899963378906
3562000,345.8999938964844
5001000,344.3399963378906
15720001,344.0099792480469
3531000,346.0099792480469
15380000,343.8599853515625
5011000,345.02996826171875
6158001,405.79998779296875
15188003,352.6099853515625
5010000,345.1299743652344
5556000,349.6400146484375
22092000,344.3600158691406
5929003,344.3699951171875
1216000,339.8999938964844
5929002,345.1099853515625
1214000,339.32000732421875
16612000,344.27996826171875
5929001,345.7200012207031
1215000,339.80999755859375
27404006,346.5899963378906
1213000,339.2699890136719
2428000,350.0099792480469
27404005,345.66998291015625
2427000,349.8299865722656
22162003,345.1199951171875
12863000,352.5099792480469
14721000,343.80999755859375
22162002,344.3099670410156
14327000,343.6499938964844
13936000,344.1499938964844
1638002,350.239990234375
27535001,346.0899963378906
13923000,344.4499816894531
14707000,344.3800048828125
27535000,345.7699890136719
17739000,345.0400085449219
27535002,346.1700134277344
5001001,344.1300048828125
9319001,280.6400146484375
17219000,344.1499938964844
2369000,347.6999816894531
1638001,350.15997314453125
2367000,347.92999267578125
4940000,344.0799865722656
2368000,347.969970703125
2365000,347.92999267578125
2366001,347.91998291015625
2364000,348.04998779296875
22685003,344.21002197265625
24879000,346.3599853515625
4915000,344.28997802734375
11745000,340.52001953125
3440000,352.91998291015625
2881000,343.6399841308594
22685002,344.5799865722656
1113000,343.2099914550781
2870000,343.38995361328125
17430003,344.6700134277344
1638000,349.79998779296875
27404003,346.5099792480469
27404004,346.3699951171875
22591001,346.6700134277344
15621003,344.1999816894531
15621004,344.010009765625
9147003,280.1299743652344
11138001,340.4100036621094
2287000,353.6999816894531
2288000,353.0899658203125
23193000,343.97998046875
3364000,345.94000244140625
22685001,344.6899719238281
15621000,343.9100036621094
15188001,346.78997802734375
15188002,347.29998779296875
9147002,282.2399597167969
4644001,345.2799987792969
17430001,345.8299865722656
13841000,346.16998291015625
12939001,358.27996826171875
17697000,343.760009765625
26817001,392.9499816894531
27448000,344.42999267578125
26463003,345.17999267578125
3315002,343.22998046875
2124000,361.489990234375
2125000,361.5599670410156
12322000,356.9800109863281
13235001,347.739990234375
3315000,343.8599853515625
3315001,344.6999816894531
26463002,345.65997314453125
26463000,348.1199951171875
26412000,343.6399841308594
26463001,349.10003662109375
17430000,345.0500183105469
23135000,344.1000061035156
2108000,357.55999755859375
12101001,356.1600036621094
2091000,359.6099853515625
2092000,359.8599853515625
22685000,344.28997802734375
2090000,359.2799987792969
24777000,344.82000732421875
1503000,345.55999755859375
1504000,345.5199890136719
24374000,344.8999938964844
1502000,345.54998779296875
5836000,393.0299987792969
9176000,289.739990234375
23123000,344.7699890136719
6621004,344.04998779296875
2093000,360.04998779296875
2094000,359.14996337890625
5556001,349.0299987792969
13629002,342.16998291015625
26004001,393.16998291015625
18228000,344.3899841308594
13629001,341.20001220703125
11919000,344.6600036621094
2705000,342.42999267578125
2706000,342.41998291015625
27404001,344.0199890136719
12260000,341.3999938964844
6621003,345.44000244140625
6621002,345.6099853515625
2605001,346.25
6621001,345.3299865722656
4713000,345.1499938964844
4243000,344.54998779296875
4714000,345.3399963378906
27848001,344.489990234375
4674000,344.3299865722656
15171000,345.44000244140625
12232000,344.5199890136719
9147001,281.6999816894531
27404000,345.6199951171875
12226002,343.8999938964844
11552002,341.42999267578125
13673000,348.0299987792969
24704001,343.80999755859375
5750001,393.2599792480469
17596003,344.6000061035156
9147000,281.3699951171875
3440001,353.510009765625
5621002,393.8899841308594
12226001,344.04998779296875
22591000,343.8699951171875
12226000,342.67999267578125
23773001,344.7900085449219
