nestID,bidx,xid,felv,fscale,gels,wse_sB_0020_1218_dep,wse_sB_0100_1218_dep,wse_sB_0200_1218_dep,wse_sB_0500_1218_dep
f0,0,1,344.41,2.5,343.91,-0.92,-0.54,-0.35,-0.12
f0,1,2,344.11,2.5,344.11,-0.62,-0.24,-0.05,0.18
f0,2,3,344.59000000000003,1.0,344.29,-1.1,-0.72,-0.53,-0.3
f0,3,4,344.46,1.0,343.96,-0.97,-0.59,-0.4,-0.17
f0,4,5,344.34000000000003,1.0,344.04,-0.85,-0.47,-0.28,-0.05
f0,5,6,344.74,2.5,344.24,-1.25,-0.87,-0.68,-0.45
f0,6,7,343.46,0.5,343.46,0.03,0.41,0.6,0.83
f0,7,8,346.13,1.0,345.13,-2.64,-2.26,-2.07,-1.84
f0,8,9,344.23,1.1,343.93,-0.74,-0.36,-0.17,0.06
f0,9,10,392.99,1.0,392.49,-0.24,0.26,0.37,0.54
f0,10,11,338.55,1.18,338.05,0.82,1.17,1.43,1.47
f0,11,12,339.9,1.18,339.4,-0.53,-0.18,0.08,0.12
f0,12,13,339.71000000000004,1.0,339.41,-0.34,0.01,0.27,0.31
f0,13,14,298.19,0.55,297.44,0.658,0.794,0.898,0.98
f0,14,15,299.21,2.5,298.21,-0.362,-0.226,-0.122,-0.04
f0,15,16,280.75,0.55,280.0,-1.23,-0.68,-0.39,-0.07
f0,16,17,279.93,0.5,279.63,-0.41,0.14,0.43,0.75
f0,17,18,280.61,1.0,280.11,-1.09,-0.54,-0.25,0.07
f0,18,19,280.28,1.0,279.78,-0.76,-0.21,0.08,0.4
f0,19,20,280.0,0.55,279.5,-0.48,0.07,0.36,0.68
f0,20,21,280.75,1.0,279.5,-1.23,-0.68,-0.39,-0.07
f0,21,22,280.06,1.18,279.56,-0.54,0.01,0.3,0.62
f0,22,23,279.85,1.18,279.35,-0.33,0.22,0.51,0.83
f0,23,24,279.92,1.1,279.42,-0.4,0.15,0.44,0.76
f0,24,25,280.349,1.0,279.849,-0.829,-0.279,0.011,0.331
f0,25,26,280.23,1.18,279.73,-0.71,-0.16,0.13,0.45
f0,26,27,344.71,1.0,344.21,-1.22,-0.84,-0.65,-0.42
f0,27,28,344.67,1.0,344.17,-1.18,-0.8,-0.61,-0.38
f0,28,29,344.69,1.0,344.19,-1.2,-0.82,-0.63,-0.4
f0,29,30,339.76,1.0,339.46,-0.39,-0.009,0.27,0.291
f0,30,31,339.55,1.0,339.55,-0.18,0.17,0.43,0.47
f0,31,32,344.08,2.75,343.58,-0.59,-0.21,-0.02,0.21
f0,32,33,344.71,1.1,344.21,-1.22,-0.84,-0.65,-0.42
f0,33,34,344.63,1.0,344.13,-1.14,-0.76,-0.57,-0.34
f0,34,35,344.19,1.18,343.69,-0.7,-0.32,-0.13,0.1
f0,35,36,344.09,1.18,343.59,-0.6,-0.22,-0.03,0.2
f0,36,37,344.26,1.1,343.76,-0.77,-0.39,-0.2,0.03
f0,37,38,343.3,1.1,343.0,0.19,0.57,0.76,0.99
f0,38,39,343.64,1.1,343.34,-0.15,0.23,0.42,0.65
f0,39,40,344.3,1.18,343.8,-0.81,-0.43,-0.24,-0.01
f0,40,41,344.38,1.1,344.08,-0.89,-0.51,-0.32,-0.09
f0,41,42,344.33,1.18,343.83,-0.84,-0.46,-0.27,-0.04
f0,42,43,343.71000000000004,1.1,343.41,-0.22,0.16,0.35,0.58
